,Role,basepk,speechtext,summary,stance
16,Opposition,4458636,"while the largest summit on maternal health in the world is going on in Washington as a prelude to the G20 summit, the Prime Minister did not even bother to respond to the invitation. This is even more disturbing because the Conservative government claims that maternal and child health is one of its priorities for the G20.
 When the time comes to lobby for the banks, and strongly speak out against plans to impose a bank tax, the Prime Minister does not hesitate to fly all over the world, but he cannot be bothered to take a short, one-hour plane trip for women.
 This is just one of a long series of misogynistic decisions made by this Conservative government: refusing to fund abortions in developing countries; making cuts to funding for women's groups; supporting bills that limit access to abortion.
 This Reform-Conservative government, led by the Prime Minister, must stop trying to score political points at the expense of women, and must start promoting a maternal and child health policy that includes abortion.",['this reform conservative government led by the prime minister must stop trying to score political points at the expense of women and must start promoting a maternal and child health policy that includes abortion '],1
13191,Opposition,4459211,"the extreme right has arrived in Parliament. The ultra-conservative members of the Reform Party, the Canadian Alliance and other right-wing splinter groups have won: they have taken Parliament hostage.
 Using their favourite puppet, the Conservative Party, these groups take pleasure in destroying all the gains achieved over the years. I am referring to their position on abortion, the firearms registry and the funding cruelly taken away from the most vulnerable members of our society. 
 As we near the end of this session, only one conclusion can be drawn: these Reform Conservatives will do everything they can to impose their regressive views. Quebec can always count on a party that, unlike the Liberals and the NDP, will always stand up when it is time to protect these gains. The Bloc Québécois is here to defend the interests and values of the Quebec nation.","['the ultra conservative members of the reform party the canadian alliance and other right wing splinter groups have won they have taken parliament hostage ', 'as we near the end of this session only one conclusion can be drawn these reform conservatives will do everything they can to impose their regressive views ', 'i am referring to their position on abortion the firearms registry and the funding cruelly taken away from the most vulnerable members of our society ']",2
14,Opposition,4468012,"the Conservative government is once again trying to impose its ideological agenda on Quebec women by reopening the abortion debate. The chair of the anti-abortion caucus introduced a bill meant to isolate women who are considering the procedure.
 It is not just domestically that this government is calling into question a woman's right to choose. While the minister responsible for CIDA is announcing her child and maternal health plan for the 10 poorest countries, we still do not know whether the organizations that offer abortion-related services will continue to be funded. All forms of birth control, including abortion, should be funded by this plan. 
 The Fédération du Québec pour le planning des naissances, the Fédération des femmes du Québec and Action Canada for Population and Development are just some of the organizations that oppose these backward and ideological decisions. The Conservative government must stop tampering with the hard-won rights of women once and for all.","['while the minister responsible for cida is announcing her child and maternal health plan for the  poorest countries we still do not know whether the organizations that offer abortion related services will continue to be funded ', 'the f d ration du qu bec pour le planning des naissances the f d ration des femmes du qu bec and action canada for population and development are just some of the organizations that oppose these backward and ideological decisions ', 'the chair of the anti abortion caucus introduced a bill meant to isolate women who are considering the procedure ']",1
20825,Opposition,4477789,"the Prime Minister was recently boasting about his government's accomplishments over the past five years. The real picture, however, is far less impressive, particularly concerning the status of women. Let me refresh everyone's memories.
 Since 2005, the Conservatives have slashed Status of Women Canada's budget by 40%, thereby forcing the closure of 12 of its 14 offices. They abolished the court challenges program. They eliminated funding allocated for feminist research and women's rights organizations.
 Conservative members have introduced bills attacking women's rights and the gains we have made. Consider for example Bill C-391 to abolish the long gun registry or Bill C-510 on abortion. Even more recently, the Minister of Human Resources and Skills Development suggested that women who have other people care for their children are inferior mothers.
 This government has done nothing for women. If anything, it has compromised the gains women have made over the years. That is a more accurate portrait of the Conservatives.","['the prime minister was recently boasting about his governments accomplishments over the past five years ', 'even more recently the minister of human resources and skills development suggested that women who have other people care for their children are inferior mothers ', 'conservative members have introduced bills attacking womens rights and the gains we have made ']",2
20823,Opposition,4479113,"tomorrow is Sexual and Reproductive Health Awareness Day. Every day, women and men of all ages contract sexually transmitted diseases because of lack of education and, above all, insufficient resources, programs and services.
 In Canada, we need only think about our aboriginal sisters. According to the Canadian Women’s Health Network, aboriginal women account for approximately 50% of all HIV-positive test reports among aboriginal people, compared with only 16% of their non-aboriginal counterparts.
 Unfortunately, the Conservative government has offered very few concrete solutions to improve this situation. Its failure to act is not overly surprising, though, given that this is the same government that, for ideological reasons, refused to subsidize abortion services under the G8 maternal and child health plan. Thousands of women's lives would have been saved.","['its failure to act is not overly surprising though given that this is the same government that for ideological reasons refused to subsidize abortion services under the  maternal and child health plan ', 'every day women and men of all ages contract sexually transmitted diseases because of lack of education and above all insufficient resources programs and services ', 'according to the canadian women s health network aboriginal women account for approximately  of all hiv positive test reports among aboriginal people compared with only  of their non aboriginal counterparts ']",2
20835,Opposition,4482304,"today marks the 100th anniversary of International Women's Day. I would like to congratulate the women of my riding, Laval—Les Îles, the women of Canada and women around the world who fight for equality, peace and liberty. The world has witnessed the strength of their vision and their tenacity. Women are standing up, side by side, against authoritarian governments in places like Egypt, Yemen, Tunisia and now Libya.
 The message is clear: one century later, women are fed up. They are demanding that governments meet their millennium development goals immediately.
 Here in Canada, a century later, this is what women are telling the Conservative government: stop cutting funding to NGOs that provide assistance to women and children; advance the rights of women and girls by approving safe reproductive rights; protect women and enable them to retain their dignity by supporting safe abortion practices, especially in cases of violence and rape.
 Equality means dignity.","['here in canada a century later this is what women are telling the conservative government stop cutting funding to ngos that provide assistance to women and children advance the rights of women and girls by approving safe reproductive rights protect women and enable them to retain their dignity by supporting safe abortion practices especially in cases of violence and rape ', 'women are standing up side by side against authoritarian governments in places like egypt yemen tunisia and now libya ', 'i would like to congratulate the women of my riding laval les les the women of canada and women around the world who fight for equality peace and liberty ']",2
17,Opposition,4509189,"listening to the member for Kitchener Centre one gets the impression that Kitchener does not have a care in the world. In neighbouring London, families are reeling from a jobs crisis caused by the Conservative government. In my hometown of Scarborough, families are struggling to make ends meet because of the Conservative government.
 Yet just down the road in Kitchener, the Conservative MP's top priority is reopening the abortion debate. He does not want to talk about Kitchener job losses or old age security. No, his top priority is to take away a woman's right to choose.
 These are the priorities of Conservative MPs, not the priorities of Kitchener families. These families deserve a voice that will fight for their jobs, their pensions and their family budget. Well, these families should know even if their MP is asleep at the switch, New Democrats will always have their back.
 The Prime Minister says he will not reopen the abortion debate. However, his MPs are doing just that. Either the Prime Minister supports the views of his MPs, or he has lost control of his caucus.","['these families deserve a voice that will fight for their jobs their pensions and their family budget ', 'yet just down the road in kitchener the conservative mps top priority is reopening the abortion debate ', 'listening to the member for kitchener centre one gets the impression that kitchener does not have a care in the world ']",2
32,Opposition,4509864,"the government is starting to unravel. On Tuesday, the member for Bruce—Grey—Owen Sound apologized to the House for comparing the long gun registry to Adolf Hitler. Unfortunately, we now know that apology was fake.
 In a story printed this morning, the member repeated and firmly defended his Nazi comparison. He told a reporter he only partially retracted his comments and went on to say, “the similarities between the two are very clear and you can’t convince me of otherwise...what I said was the truth”. Canadians know that comparing a political opponent to the man who murdered millions is despicable and offensive to victims of the Holocaust.
 With the Prime Minister out of the country less than a week, the wheels are already coming off the Conservative caucus bus. Talking about abortion, capital punishment, torture and now Adolf Hitler are not the priorities of Canadian families. 
 To quote a true leader's words, “What is going on over there?”","['he told a reporter he only partially retracted his comments and went on to say the similarities between the two are very clear and you can not convince me of otherwise ', 'on tuesday the member for bruce grey owen sound apologized to the house for comparing the long gun registry to adolf hitler ', 'with the prime minister out of the country less than a week the wheels are already coming off the conservative caucus bus ']",2
8357,Government,4512134,"we are concerned about the latest reports of North Korean refugees in China facing the risk of being forcibly sent back to North Korea.
  North Korea is a state where basic freedoms, including religious freedoms, are not respected. Disturbing reports include public executions, torture, arbitrary detentions, collective punishment, forced abortions in prison camps, and reports of increasingly harsh treatment against those who fled North Korea and have subsequently been repatriated.
 Canada has raised this issue at the United Nations on multiple occasions. We call upon all parties, including China, to respect the principle of non-refoulement of refugees from North Korea.
 I join the United Nations High Commissioner for Refugees in encouraging all parties concerned to find a viable humanitarian solution for these individuals.","['disturbing reports include public executions torture arbitrary detentions collective punishment forced abortions in prison camps and reports of increasingly harsh treatment against those who fled north korea and have subsequently been repatriated ', 'we call upon all parties including china to respect the principle of non refoulement of refugees from north korea ', 'i join the united nations high commissioner for refugees in encouraging all parties concerned to find a viable humanitarian solution for these individuals ']",2
18,Government,4513469,"universities in Canada are often thought of as the bastions of free speech and expression. Certainly they are the last places where censorship should occur. I wish this were true, but sadly, it is not. 
 When it comes to some of the most sensitive issues, such as pro-life issues, many universities are exactly the opposite.
 For example, when students at Ottawa's Carleton University put up a pro-life display, some students found the photos offensive and complained. I expect that most Canadians would find such photos offensive but that was the point the group was making: that abortion and particularly late stage abortion is offensive.
 What is of concern is how the university reacted. It demanded that the group remove its display and then charged the students when they refused.
 Similar censorship has occurred at universities in Toronto, Calgary, Fredericton and, most recently, Victoria where students are banned from carrying out pro-life activities and were forced to apologize to groups that were offended by their display.
 I call on all universities to truly become places where students and society can count on free speech and free expression being allowed and, in fact, encouraged.","['when it comes to some of the most sensitive issues such as pro life issues many universities are exactly the opposite ', 'universities in canada are often thought of as the bastions of free speech and expression ', 'it demanded that the group remove its display and then charged the students when they refused ']",0
16770,Opposition,4513475,"on the eve of International Women's Day, I want to give a shout out to the Hamilton and District Labour Council which will once again host the Norma Berti women's breakfast to celebrate International Women's Day.
 Each year we get together to celebrate the successes of women and girls in challenging stereotypes and in breaking down barriers to their full equality, but we also remind ourselves of the battles yet to be won.
 Globally, women and girls continue to face violations of their basic human rights. In too many parts of the world women die because they cannot access safe and legal abortions or even information on family planning. Girls are prevented from going to school. Crimes of sexual violence continue with horrific impunity.
 In Canada too, women are losing ground. The Conservatives continue to attack women's equality rights. They have cut funding to organizations like Status of Women, Sisters in Spirit, and groups that help newcomers. They have failed to invest in child care and affordable housing. They ignore pay equity rights.
 That is why in Hamilton we celebrate International Women's Day by committing to fight on. We know that all women deserve fairness, affordability, opportunity, equal pay for work of equal value, a decent standard of living, and the freedom to live without fear.","['on the eve of international womens day i want to give a shout out to the hamilton and district labour council which will once again host the norma berti womens breakfast to celebrate international womens day ', 'they have cut funding to organizations like status of women sisters in spirit and groups that help newcomers ', 'in too many parts of the world women die because they cannot access safe and legal abortions or even information on family planning ']",1
4022,Opposition,4514074,"today being International Women's Day, I wish to recognize the important contribution made by the women of Quebec on the long, hard road towards gender equality in Canada.
 In Quebec, if there is one name that is synonymous with that struggle, it is of course Thérèse Casgrain. This great woman was at the heart of every battle and debate in what was at the time a rapidly changing society. She fought for many causes that redefined society.
 Her efforts later brought her into the political realm, with the NDP, among other parties, and she was appointed to the Senate in 1970. 
 Most importantly, however, Thérèse Casgrain left all women a legacy to carry on and one over-riding duty: to continue to work towards true gender equality.
 That is why I am pleased to pursue the same goals as the organization founded by Ms. Casgrain, the Fédération des femmes du Québec, which advocates for the right to abortion, pay equity and women's safety, to name a few. Together, we can continue her fight. Let's get the job done.","['in quebec if there is one name that is synonymous with that struggle it is of course th r se casgrain ', 'casgrain the f d ration des femmes du qu bec which advocates for the right to abortion pay equity and womens safety to name a few ', 'this great woman was at the heart of every battle and debate in what was at the time a rapidly changing society ']",1
19,Opposition,4519117,"I rise here today to denounce certain government MPs' attempts to criminalize abortion.
 Of course, they know that their approach is extremely unpopular with women, who hate it when men try to tell them what to do with their bodies.
 That is why these members are drawing inspiration from the Republican Party and using roundabout ways and bogus motions that are based on pseudo-science.
 Let us be clear: this will not work. Canadian women have a right to access abortion and this backwards-thinking government cannot take that away from them. 
 Our party has always defended women's rights and we will continue to do so. It is unfortunate that we cannot say the same for this government, which has let Motion M-312, moved by the member for Kitchener Centre, in by the back door in order to attack women directly.
 It is not enough to answer on behalf of the government that it has no intention of reopening the abortion debate because—here is a reality check—Motion M-312 has already opened it. We must close it immediately.","['it is unfortunate that we cannot say the same for this government which has let motion m  moved by the member for kitchener centre in by the back door in order to attack women directly ', 'it is not enough to answer on behalf of the government that it has no intention of reopening the abortion debate because here is a reality check motion m  has already opened it ', 'our party has always defended womens rights and we will continue to do so ']",1
20,Opposition,4533656,"I rise today on this World Refugee Day to outline the Conservatives' contempt for women.
 In Bill C-31, a bill against refugees, the Conservatives are targeting the most vulnerable women by directly attacking sexual abuse survivors who are seeking asylum. The Conservatives do not care.
 The Conservatives also attacked women in Bill C-10, by putting more and more women in prison for minor crimes, when statistics show that the majority of women in prison are also mothers. This legislation is breaking up families.
 The omnibus budget bill, which was passed on Monday, amends the Employment Equity Act. Again, women are being targeted. 
 The height of contempt is Motion M-312, a motion that, in 2012, opens the abortion debate. Women have fought for their rights, and the Conservatives are allowing a man to interfere and send women back to the days of knitting-needle abortions.
 Looking back over the past year, there is not much here for the fairer sex. What is more, our Prime Minister does not even trust the women in his caucus to speak on his behalf during question period. Indeed, only 22 questions out of 349 were answered by women. That is a measly 6%.
 That is sad, but the NDP will always be proud to stand up for women.","['i rise today on this world refugee day to outline the conservatives contempt for women ', 'women have fought for their rights and the conservatives are allowing a man to interfere and send women back to the days of knitting needle abortions ', 'what is more our prime minister does not even trust the women in his caucus to speak on his behalf during question period ']",2
20896,Opposition,4535146,"this week, members of Parliament will have a third honour of debate on Motion No. 312, the Conservative government's veiled attempt to reopen the abortion debate in Canada.
 We, the NDP, call on all members of the House, Conservative and Liberal, to vote with us, stand up for women's rights and vote against Motion No. 312.
 Thousands of Canadians, women and men, are calling on their members of Parliament to stand up for women's rights. Many will be out in their communities sending this message this Friday.
 Women's rights are human rights, and it is not just a catchy slogan. It follows from Supreme Court of Canada decisions and international human rights law. Around the world, countries are surpassing Canada in ensuring that women's fundamental reproductive rights are protected.
  What is the government doing? It is reopening the debate through the back door. That is why so many young women, like myself, and women of all generations are proud to stand with the only party that stands up for women in Canada, the NDP. We will not let the government turn the clock back on women's rights.","['many will be out in their communities sending this message this friday ', 'we the ndp call on all members of the house conservative and liberal to vote with us stand up for womens rights and vote against motion no ', 'thousands of canadians women and men are calling on their members of parliament to stand up for womens rights ']",1
21,Opposition,4537223,"it has really been quite a week for the Conservatives. Eighty-six Conservative MPs, including ten cabinet ministers, voted to take away a woman's right to choose. The Minister for the Status of Women said two years ago that she did not want to reopen the abortion debate, then she voted to do the opposite.
 Listen to the comments the member for Fort McMurray—Athabasca made to his local radio show. They reported that he said the code surrounding abortion in Canada is on par with North Korea human rights abuses. To quote, “We're exactly at the same place as North Korea, China, and Vietnam”. 
 It gets worse. Yesterday, when I asked a question about the Conservatives inviting white supremacists to committee, the Minister of State for Science and Technology started defending this group, shouting “free speech”. 
 Here is what makes the Conservatives uncomfortable: the NDP is in favour of women's right to choose and we do not like white supremacists.","['here is what makes the conservatives uncomfortable the ndp is in favour of womens right to choose and we do not like white supremacists ', 'to quote we are exactly at the same place as north korea china and vietnam ', 'the minister for the status of women said two years ago that she did not want to reopen the abortion debate then she voted to do the opposite ']",1
22,Opposition,4550616,"25 years ago, in the landmark Morgentaler decision, the Supreme Court recognized a woman's right to choose. Today, New Democrats recognize and thank Dr. Henry Morgentaler for his commitment to protecting a women's right to reproductive choice. Thanks to Dr. Morgentaler's fight, a generation of Canadian women has had access to choice.
 We acknowledge the health care professionals and service providers who still take risks to perform abortions. We stand in solidarity with advocates and women fighting to support women's reproductive rights.
  Today, 25 years later, a vast majority of Canadians support a woman's right to choose, and that is why the Conservative government has veiled its attempts to roll back women's reproductive rights. We must remain vigilant: challenges to accessing abortion care in Canada still exist. Women's reproductive rights are fundamental to the struggle for the full equality of women here in Canada and abroad.
 Today, as we celebrate this important anniversary, we must commit ourselves to ensuring that future generations of Canadian women have reproductive choice, for all of us.","[' years ago in the landmark morgentaler decision the supreme court recognized a womans right to choose ', 'today  years later a vast majority of canadians support a womans right to choose and that is why the conservative government has veiled its attempts to roll back womens reproductive rights ', 'today as we celebrate this important anniversary we must commit ourselves to ensuring that future generations of canadian women have reproductive choice for all of us ']",1
23,Opposition,4551309,"25 years ago this week, the Supreme Court of Canada ruled that restricting abortion is an unconstitutional attack on women's rights, freedoms and security. 
 We in the NDP are proud to unequivocally support women's right to choose freely. The same cannot be said of the members across the floor. Since they came to power in 2006, the Conservatives have attempted on six separate occasions to reverse that Supreme Court decision.
 Why so many underhanded attacks? Why do the Conservatives want to prevent women from having control over their own bodies?
 The Prime Minister promised not to reopen the abortion debate, but clearly, once again, it is up to the NDP to stand up for women's right to choose.
 The Conservatives continue to stubbornly defend regressive ideas that have been rejected by Canadians. It is not up to the church or the state to decide, and it is certainly not up to the Conservatives. Terminating a pregnancy is for the individual woman to decide, period.","['the prime minister promised not to reopen the abortion debate but clearly once again it is up to the ndp to stand up for womens right to choose ', ' years ago this week the supreme court of canada ruled that restricting abortion is an unconstitutional attack on womens rights freedoms and security ', 'terminating a pregnancy is for the individual woman to decide period ']",1
24,Opposition,4551935,"since I came to the House, I have seen and heard plenty of Conservative rubbish about abortion.
 However, nothing prepared me for the appalling letters that were sent this week. Three Conservative members, male of course, wrote to the RCMP asking them investigate certain instances of abortion that they feel constitute murder. These three pathetic musketeers are out to dismantle women's rights and obviously have not understood that this issue was settled a long time ago.
 Threatening women who have opted for this procedure with imprisonment because they can do as they choose with their bodies and labelling them as murderers when they are already in emotional turmoil is irresponsible, dangerous, unworthy of a member of Parliament and downright disgusting. 
 If the Prime Minister is telling the truth and does not want to reopen this debate, he needs to break his complicit silence and clearly tell these backward-thinking members that this type of action is unacceptable. Otherwise, the weight of their offensive actions will also rest on his shoulders.","['threatening women who have opted for this procedure with imprisonment because they can do as they choose with their bodies and labelling them as murderers when they are already in emotional turmoil is irresponsible dangerous unworthy of a member of parliament and downright disgusting ', 'these three pathetic musketeers are out to dismantle womens rights and obviously have not understood that this issue was settled a long time ago ', 'if the prime minister is telling the truth and does not want to reopen this debate he needs to break his complicit silence and clearly tell these backward thinking members that this type of action is unacceptable ']",1
25,Opposition,4554084,"Quebeckers and Canadians were horrified to find out that three Conservative MPs asked the RCMP to launch a criminal investigation into some abortions. They clearly consider women who resort to this medical practice to be murderers.
 The Prime Minister claims he does not want to reopen the abortion debate, but through his silence he is condoning the guerrilla tactics that a number of Conservative members are using to attack one of women's fundamental rights. The members for Kitchener Centre and Langley have moved two motions in the House to reopen the debate, and now three Conservative members are using the RCMP for partisan and ideological purposes in order to circumvent Parliament and the Supreme Court.
 The NDP is proud to defend a woman's right to choose. Fundamental rights cannot be called into question, either directly or indirectly.
 The Prime Minister should keep his promises.","['the members for kitchener centre and langley have moved two motions in the house to reopen the debate and now three conservative members are using the rcmp for partisan and ideological purposes in order to circumvent parliament and the supreme court ', 'the prime minister claims he does not want to reopen the abortion debate but through his silence he is condoning the guerrilla tactics that a number of conservative members are using to attack one of womens fundamental rights ', 'quebeckers and canadians were horrified to find out that three conservative mps asked the rcmp to launch a criminal investigation into some abortions ']",1
20946,Opposition,4569108,"today I rise to pay tribute to Dr. Henry Morgentaler, whom we lost this morning. We extend our deepest sympathies to his family and loved ones.
 We recognize Dr. Morgentaler's courage and perseverance.
 We recognize his courage, his dedication and the way he changed the course of Canadian history. As a champion for reproductive justice and women's rights, he took our country forward. Thanks to Dr. Morgentaler's fight, a generation of Canadian women have had access to choice.
 Dr. Morgentaler was honoured with the Order of Canada for his tireless efforts for nearly half a century, putting his life and freedom at risk so that Canadian women could have access to safe abortion services.
 Twenty-five years ago, the Supreme Court ruled in his favour, declaring that women have the right to choose. Unfortunately, even today, access to reproductive services remains unequal. We must remain vigilant against repeated attempts to roll back these rights. New Democrats will continue Dr. Morgentaler's fight and the pursuit of equality.","['morgentaler was honoured with the order of canada for his tireless efforts for nearly half a century putting his life and freedom at risk so that canadian women could have access to safe abortion services ', 'twenty five years ago the supreme court ruled in his favour declaring that women have the right to choose ', 'we must remain vigilant against repeated attempts to roll back these rights ']",1
16899,Opposition,4578278,"Conservatives showed us this weekend that they are more right wing than ever. Conservatives voted for a less progressive tax system. They voted to attack collective bargaining and reduce public pensions. They rejected any form of any gun control. They even want to reopen the abortion debate by restricting a woman's right to choose. The same proposal was rejected by the House. However, while Conservatives were showing Canadians how right wing they are, missing from the convention was anyone taking any responsibility for any part of the Senate expense scandal.
 When the Prime Minister is losing the credibility war to Mike Duffy and the contrition war to Mayor Rob Ford, we know he has serious problems. Fortunately, in 2015, Canadians will have a real choice: to elect an NDP government to finally clean up Conservative and Liberal corruption once and for all.","['they even want to reopen the abortion debate by restricting a womans right to choose ', 'however while conservatives were showing canadians how right wing they are missing from the convention was anyone taking any responsibility for any part of the senate expense scandal ', 'when the prime minister is losing the credibility war to mike duffy and the contrition war to mayor rob ford we know he has serious problems ']",2
8485,Opposition,4581533,"the Minister of Status of Women appeared before our committee yesterday. It was only the second time that she had come to discuss her department's plans and priorities.
 The NDP asked her about how women's equality has declined since the Conservatives were elected, but the minister did not reply. When we asked her if she plans to launch a national inquiry into missing and murdered aboriginal women, she did not reply. 
 When we asked her if she plans to develop a national action plan to address the high rate of violence against women, and why her government has no moral qualms about denying abortion services for victims of war rape and young girls forced into marriage, she did not reply. 
 This week we learned that, in Canada, over half of all single mothers with young children are living below the poverty line. The minister did not once mention child care, pay equity or reducing poverty among Canadian women, who desperately need help.
 Canadian women deserve better.","['the minister did not once mention child care pay equity or reducing poverty among canadian women who desperately need help ', 'the ndp asked her about how womens equality has declined since the conservatives were elected but the minister did not reply ', 'when we asked her if she plans to develop a national action plan to address the high rate of violence against women and why her government has no moral qualms about denying abortion services for victims of war rape and young girls forced into marriage she did not reply ']",1
19883,Opposition,4585518,"on January 28, 1988, the Supreme Court decriminalized abortion in Canada by striking down section 251 of the Criminal Code. Part of the ruling reads as follows:
  Forcing a woman, by threat of criminal sanction, to carry a foetus to term unless she meets certain criteria unrelated to her own priorities and aspirations, is a profound interference with a woman's body and thus an infringement of security of the person. 
 The right of Canadian women to decide whether or not to carry a pregnancy to term is not a done deal. The Conservatives have introduced three bills as well as Motion No. 312 to eliminate that right. In addition, young Canadian women are facing more and more economic and social uncertainty because the Conservatives are behind the times when it comes to gender equality.
 The NDP believes it is time to take action.","['the right of canadian women to decide whether or not to carry a pregnancy to term is not a done deal ', 'in addition young canadian women are facing more and more economic and social uncertainty because the conservatives are behind the times when it comes to gender equality ', 'part of the ruling reads as follows forcing a woman by threat of criminal sanction to carry a foetus to term unless she meets certain criteria unrelated to her own priorities and aspirations is a profound interference with a womans body and thus an infringement of security of the person ']",1
28,Opposition,4586866,"I rise today to honour the memory of Dr. Garson Romalis, who passed away on January 30. Dr. Romalis was a courageous champion of women's reproductive rights and an ardent supporter and provider of safe abortions.
 He received his medical degree from UBC in 1962, prior to the legalization of abortion in Canada. At that time, he treated many women suffering from septic shock in the aftermath of “back-alley abortions”. After Canada's abortion laws changed, Dr. Romalis built his practice on the belief that women have the right to choose when and if they become pregnant.
 Dr. Romalis survived two violent terrorist attacks in Vancouver in 1994 and 2000. Despite these attempts on his life, he remained steadfast in his work and belief in a woman's right to choose. His deep compassion and care have helped countless women and saved lives.
  New Democrats offer our deepest sympathy to his family, and we thank them for sharing this great doctor and his life's work with Canadians.","['he received his medical degree from ubc in  prior to the legalization of abortion in canada ', 'new democrats offer our deepest sympathy to his family and we thank them for sharing this great doctor and his lifes work with canadians ', 'at that time he treated many women suffering from septic shock in the aftermath of back alley abortions ']",1
20998,Opposition,4591630,"on International Women's Day, we celebrate the strength and courage of women's rights activists worldwide. Around the world, women and men are standing on the front lines of struggles for equal rights, access to abortion and birth control, LGBTQ rights, the right to be educated, and, in too many places, human rights as well.
 Here at home, indigenous women and their allies are calling for a national inquiry and national action on missing and murdered indigenous women. Every rally, vigil, march, and round dance, held in honour of indigenous women, demonstrates that there is no stopping the tide of voices demanding justice.
 This week, Canadians saw a young, courageous female leader oppose and attack rape culture. Anne-Marie Roy, president of the Student Federation of the University of Ottawa, gave a voice to those of us who want to put an end to misogyny on our campuses and in our society.
 As we celebrate International Women's Day, let us celebrate all these fights for equality. We want to express our solidarity with these young people who are fighting for women's rights, and we want them to know that together we will succeed.","['every rally vigil march and round dance held in honour of indigenous women demonstrates that there is no stopping the tide of voices demanding justice ', 'on international womens day we celebrate the strength and courage of womens rights activists worldwide ', 'around the world women and men are standing on the front lines of struggles for equal rights access to abortion and birth control lgbtq rights the right to be educated and in too many places human rights as well ']",2
29,Opposition,4595693,"yesterday, a Conservative member again announced his intention to reopen the abortion debate. Every once in a while, the Conservatives attack women's rights and we in the NDP must stand together to fend off those attacks.
 If this Prime Minister is sincere when he says that the right to abortion is not threatened in Canada, then why do his members keep attacking that right?
 The NDP knows that the vast majority of Canadians believe that women have the right to choose. We are the only party in the House that voted unanimously to uphold that right. We are calling on the Conservative government to move on and do something tangible to ensure women's equality.
 The hon. member for Kitchener Centre may want to live in the past, but we know that today, every woman decides for herself what to do with her body.","['every once in a while the conservatives attack womens rights and we in the ndp must stand together to fend off those attacks ', 'if this prime minister is sincere when he says that the right to abortion is not threatened in canada then why do his members keep attacking that right ', 'member for kitchener centre may want to live in the past but we know that today every woman decides for herself what to do with her body ']",1
21012,Opposition,4602422,"when it comes to development assistance priorities, women's and children's health is certainly high on the list.
 Yes, I said “women's health”, not just “maternal health”. Women are women before they become mothers, and some women are healthier if they do not have children. International aid must focus on the full range of sexual and reproductive rights, not just those that are ideologically acceptable to the Conservatives.
 That means funding access to safe abortion services. Women's and children's health is not limited to just that. Health also means improving access to education for both women and children. However, women's health also includes educating men. Too many women and children who are forced into marriage will become pregnant before they are physically or psychologically ready. Women's and children's health also means improving access to safe drinking water, electricity and decent housing.
 The NDP cares deeply about the health of women and children around the world. That is why women's health should be about more than just maternal health.","['the ndp cares deeply about the health of women and children around the world ', 'when it comes to development assistance priorities womens and childrens health is certainly high on the list ', 'health also means improving access to education for both women and children ']",2
26,Opposition,4616266,"on Friday, I will celebrate the 85th anniversary of the Persons Case with fellow feminists at a breakfast in Halifax for LEAF, the Women's Legal Education and Action Fund. 
 Professor Jula Hughes will speak on the history of legal disputes for abortion access in New Brunswick, which is timely, as its Morgentaler clinic closed this summer. This was the only facility in the province where women could get an abortion free of restrictions, and it served women in New Brunswick and P.E.I.
  Why do women in the Maritimes still have to fight for a right that was granted 26 years ago to all Canadian women? 
 It was 85 years ago that we became persons in the eyes of the law in our country, and 85 years later, women in the Maritimes still face inequalities regarding access to abortion facilities. 
 Today, I stand in solidarity with women in New Brunswick and P.E.l. who say, “my body, my choice”.
  Happy Persons Day, Mr Speaker, the day in 1929 when women were declared persons under the law. It is now 85 years later and we still stand committed to confronting all forms of discrimination to achieve equality for women and girls.","['this was the only facility in the province where women could get an abortion free of restrictions and it served women in new brunswick and p e i why do women in the maritimes still have to fight for a right that was granted  years ago to all canadian women ', 'it was  years ago that we became persons in the eyes of the law in our country and  years later women in the maritimes still face inequalities regarding access to abortion facilities ', 'on friday i will celebrate the  anniversary of the persons case with fellow feminists at a breakfast in halifax for leaf the womens legal education and action fund ']",1
27,Government,4618018,"in light of the 85th anniversary of the Persons Case, I acknowledge the many Canadians who are working to ensure that all human beings are recognized in law.
 Canada truly is among the world's elite when it comes to valuing and protecting human rights, except that we are one of only three countries in the world with no legal protection for children before birth. Sadly, this includes unborn babies who are eliminated and have their precious lives ended just because they are girls.
 Britain knows it is wrong. Its Parliament declared sex-selection abortions illegal by a 181-to-1 vote.
 Canada can fix this too. Let us start by having this Parliament condemn gender-selection abortion. What better day to recognize this than on Persons Day?
 As Dr. Seuss once said, “A person's a person. No matter how small.”","['in light of the  anniversary of the persons case i acknowledge the many canadians who are working to ensure that all human beings are recognized in law ', 'canada truly is among the worlds elite when it comes to valuing and protecting human rights except that we are one of only three countries in the world with no legal protection for children before birth ', 'what better day to recognize this than on persons day ']",0
