topic_index	for_arguments	against_arguments
102		['just as the liberal creed goes a human life by how far along down the road of life he is on and we should not judge a human by whether he is conscious or not ', 'let me propose my pro life argument in the form of a question if you pro abortionists could be convinced beyond any reasonable doubt whatsoever that an embryo was a human life would you recant your abortion stance ', 'using this argument is it ethical to kill a newborn solely based on the fact that it is not by our standards ', 'there is a dichotomy in this debate and if you are you essentially condone the act of abortion since you do not condemn it ', 'how then do you justify killing something that has no awareness of itself on the sole basis that it does not have awareness of itself ']
104	['advocating that the government remove legal restrictions on a medical procedure is the very thing that prevents the unfortunate back alley and home abortions ', 'younger women are encourage to seek counself from their parents but should not be quired to inform them or thave them to consent to a procedure ', 'i do not need to win all six points in my constructive to win this speech this is completely abusive and was not agreed upon before the debate ', 'my opponent fails to answer my argument that spouses can be abusive or hard to contact and can have undue influence over their womans right to an abortion ', 'this procedure is called intact dilation and extraction is rarely necessary to preserve the life of a woman in later term ', 'women who resort to these unfortunate choices often due so because of legal restrictions placed upon them ', 'the womans level of mental development is irrelevant in determining her right to an abortion ']	
104	['additionally many women in the you s are separated but not legally divorced yet from their husbands ', 'for example if a rare genetic disorder was discovered that would create a baby born with a severe physical or mental impairment that was not correctable and would lead to a short depressing lifespan or if a woman life would be seriously endangered by continuing with the pregnancy ', 'in some you s states informed consent laws sometimes called laws require that a woman seeking an elective abortion be given factual information by the abortion provider about her legal rights alternatives to abortion such as adoption available public and private assistance and medical facts ', 'waiting periods generally serve no purpose the fetus continues to develop the longer that a woman waits for an abortion ', 'late term abortions would only be performed in extenuating circumstances such as when the physical health of the woman is placed in severe jeopardy ', 'other developed countries including canada have no legal restrictions on abortion and have far lower abortion rates than countries that place legal restrictions on the procedure namely the you s and countries in south america ', 'if parents are allowed to influence their daughters decisions the daughter may resort to dangerous risky means in order to obtain an abortion ']	
104	['the first round is for acceptance ']	
104		['my opponent utterly fails to prove why we should make such a drastic claim to the status quo and then demonizes me for opposing his opinions therefore i urge you all  in this debate simply because my opponent gives you no reason to vote for them ', 'so no i have warranted my opponent needing to win all six points in my prior speech which my opponent never touches on and i have further clarified it here ', 'now as for the con side my opponent does not touch the three points i offer so they also go to the con ', 'but what they do not understand is it is these restrictions that make such atrocities not happen in the first place ', 'closing arguments so with that let us look to the pro side of the debate pro first on the framework my opponent accepts the burden of proof but claims that it is abusive to say they must win all six of their points to win this debate ', 'second my opponent never warrants that it is just a so this argument is two fold not applicable ', 'my character limit makes it impossible for me to not only copy paste my prior arguments and expand on them but it would also be irrelevant since is the last round and my opponent could not argue it back ', 'now for my closing statements my opponent advocates that this debate is strictly that concerning but it goes far beyond that ', 'his refutation also has not evidence to support his claim ']
104		['physical damage to the mother argument summary it is too early in the debate for me to summarize just yet especially since my opponent has not had an opportunity to respond to my constructive arguments ', 'the bulk of their content is in my attacks on the pro case as it is already and the topic does not give me a burden to provide an alternative but simply to disprove the pro ', 'now for maximum clarity i will frame the round a bit then i will be going pro then con and finishing up with an argument summary frame i simply want to point out here that the burden of proof is on the pro as they are advocating a change to the current state of events ', 'pregnancy is an emotionally and physically stressful time for women and they deserve to know about the procedure before under going it ', 'again pregnancy is a stressful time for women they deserve time to think on such a huge decision i also want to extend my arguments on point  here ', 'meaning they must over overwhelmingly win the clash first off and also win all six points they presented in their constructive ', 'con for now i will just present the tags and expand on them as later ']
104		['if pro disagrees they may say so in their next speech and this point will be abolished ']
105	['abortion doctors similarly might be challenged by the process of an abortion and even believe that they are the fetus but nevertheless acknowledge the need for abortions and so are comfortable with their profession ']	
106	['these opinion polls are misleading as they force respondents to choose between an outright ban and no control at all it is impossible for them to register support for partial birth abortion in cases where the mother s physical or psychological health is in danger ', 'more importantly this should not be the business of the general public or of legislators ', 'nobody who would prefer not to have a partial birth abortion will be made to have one ']	
106		['here is a vast amount of support in the united states for a ban on partial birth abortion ']
108	['while a law that mitigates the damages done by this would be ideal such a law could not be implemented without having detrimental effects towards women in different situations where the fathers may use such tools to because harm case in point rapists wanting parental rights over children born out of sexual assault ', 'there is a small paradox at the center of the argument that cannot be legislated or debated in court if you are in a relationship with something that discounts your concerns regarding your unborn child that may not be a legal issue but a personal decision that cannot be undone ', 'or they would decide that they are not ready for a child and agree to terminate the pregnancy despite the difficulty and guilt surrounding the implications of their decision ', 'the flip side is the emotional part of a man learning that his childs life has been terminated without his knowledge consent or having his concerns addressed ', 'to claim that the legalities of a hypothetical situation must fit your opinion removes the idea that the problem in society needs to be identified ', ' in excess of three million is a figure I have heard before but i will have to nail down a supported figure ', 'the idea that a man can have a legal say over a womans body is the core of the argument ']	
108	['you have yet to prove that a loving father in a committed relationship with a stable person has suffered the loss of a child due to an abortion he was not consulted about ', 'this is religious faith based claim that has no grounding in any study performed to date nor can it be demonstrated by anecdotal evidence ', 'it is used to reduce the physical contrast of the two in order to minimize pregnancy ']	
108		['i do understand what you are saying but the law can enforce this and make it strong against bad fathers ']
108		['i know there is a lot of people out there who disagree with this so the invitation for this debate will be open to anyone ']
108		['i do not think it matters the timeline of proof i have shown ', 'I am just trying to say there is a way a father male were to have a right to choose just as much as the mother female could ', 'this was a fun debate i appreciate it and thank my opponent ']
110	['however the odds are still in favour of it being correct in general so i will provide an example of a situation in which abortion would be best for both mother and child in my arguments section ', ' sorry for the late response i just got a spike of homework so i did not have much time to do debating as con has taken the pro life side i will assume that i no longer need to argue that there are cases in which abortion is not ethical as we are in agreement on that so i will not rebut any of your rebuttals to my statements saying that abortion can be unethical ', 'to avoid any guessing over the time i will assume that the baby is conscious at a little past  weeks since the parts of the brain for thought and emotion are more complex than the parts for motor control ', 'in a case where an embryo or fetus has a lethal birth defect it only makes sense to abort it rather than forcing it to be carried for  months with this and then be born only to have their brain painfully destroyed ', 'therefore even though we can not read minds and so do not know the exact time that a baby is conscious we do know that a baby definitely has no consciousness until it has a brain that is at least partially developed ', 'however i am arguing that there are cases in which abortion should be allowed and cases in which it should not so the fact that i did not disprove some of your points does not cost me the debate ', 'to do so to an unborn child for the same reason these entire premise of these two paragraphs is that a zygote is already a human as i have proven above is potentially false and i will prove later that it is actually false ']	
110	['i shall now begin with my points at the root level aborting a baby is taking away a chance at a life a friend to others the potential for growing other people who the baby would have met over the course of its life ', 'therefore a potential life being thrown away and the positive impacts that that life would have on other people will often outweigh a womans right to choose what to do with her body especially since she will also be impacted by such a baby ', 'however there are times in which the birth of a child will because suffering rather than happiness and building of people ']	
110	[' if con has a problem with any rule it will be resolved in the comments section so that we do not wast the debate arguing about rules any accusations of a logical fallacy must be supported follow basic rules of debating politeness happy debating ', 'i am arguing that there are certain times when abortion is wrong and should not be done and there are times that it is acceptable ', ' burden of proof is shared first round is acceptance clarification of position and whatever else con feels necessary but no arguments to make sure that we both have  argument rounds ']	
110	['the rest of the rebuttals were simply rebutting my points that did not really matter and in fact i will be the first to admit that they were not strong ', 'the reason that i do not need to prove that abortion is immoral in some circumstances is because we are both trying to argue that at least there are times in which abortion is immoral or more specifically should not be allowed ', 'however i do not agree with it as even if a zygote is considered human since it has cells that only belong to homo sapiens it is still as unconscious as a skin cell ', 'rebuttals and pray tell in what way does a zygote have a rational nature without even having a brain ', 'this does not have to do with it having rights or not or that its life is not worth living it is simply stating that it will not have a life and will instead either be aborted sooner or die in more pain later ', 'the only time that it lives outside the womb will be in more pain than abortions in early stages because ', 'therefore masturbating or having a period is infanticide as well as cutting yourself even though that is not good swabbing your mouth for dna spitting and a plethora of other things because you are detaching cells from your body to die ']	
110		['unborn are humani have given a valid definition from an embryology book that attests to the fact that the zygote developmental stage is factually when a new human organism comes into being ', 'i previously established that the unborn are humans and since humans have a rational nature humans are persons at every stages of life ', 'since pro had no countering studies to the effect his only response was that the study was of a small sample size ', 'defence of argumentpro has claimed that i have taken the pro life side and that is true but not exclusively so ', 'it is merely an appeal to emotions and as such this argument has been disproven ', 'once again this is contradictory to the premise of fundamental human rights and equality of people ', 'since pro has failed to discredit the fact that the unborn are individual distinct human beings and did not disagree with the concept of fundamental human rights my argument stands in its entirety ', 'the pro life refutation of this argument would counter that personhood is best described by the philosopher boethius a person is an individual substance that has a rational nature ', 'additionally rationality and thus sentience is not something that is added to a human by the mother or some other agent but is rather an inherent attribute of humans that expresses itself to a greater degree over time ', 'instead of refuting this claim with any scientific claim or knowledge to the contrary pro attempts to refute scientific fact with an imaginary blending of colours that represents the developmental stages of the unborn child ', 'conclusioni have defended my original arguments and clearly shown why each of pros arguments fails to substantiate his argument ', 'that is like arguing that because the plantation owner may have his finances adversely affected that he has a right to enslave some blacks ', 'furthermore i have shown why pro arguing that the development of sentience is the dividing line between permissibility and impermissibility of abortion has actually caused him to lose the entire debate ', 'argument  bad future for mother and child when rape involvedhere i went really soft on pro ', 'thus by making the sentience argument pro has lost the debate because by using sentience as the dividing line one is forced to take the arguments to their conclusions ']
110		['one could argue that you should be able to have your kidney forcibly taken from you to help another person who is dying because this other persons interaction and interactions from his relieved family members will be a net positive to society ', 'the study actually stated that women who abort actually suffer more than those who do not because it is likely that the victim already harbors feelings of guilt as a result of the assault medico social pressures which encourage and result in abortion could compound the woman s feelings of guilt and self blame perhaps as a result of their own biases and an unwillingness to deal with the more emotionally difficult complications of a pregnant rape victim many physicians suggest abortion in this case as one would prescribe aspirin for tension headache while on the surface this suggestion may appear acceptable and even humane to many the victim is dealt another disservice ', 'thus the parents and particularly the mother are viewed as owning the child instead of being the natural guardian s of the child ', 'often the offer of such quick and easy solutions as abortion only serve those who are uncomfortable or unwilling to deal with the special problems and needs that such complications as pregnancy might present ', ' from this stage onward a new human organism exists one which we all had to pass through to arrive at our current level of development ', 'this moral equality is the this was most famously penned in the us declaration of independence we hold these truths to be self evident that all men are created equal that they are endowed by their creator with certain unalienable rights that among these are life liberty and the pursuit of happiness ', 'what we are debating is the whether or not a human being has a right to its own life dependent on the circumstances either she or her mother will face now or in the future ', 'one cannot pursue happiness if one does not have a right to liberty and one cannot have liberty if one does not have a right to life ', 'i posit that we live in a world that has come to realize the inherent and inalienable rights of humanity ', 'now while it is true that our societal interactions can be positive for society this belief would make it justifiable to kill hermits or the homeless who choose not to interact with others ', 'the child will grow up with unloving parents if there are indeed  parents ', 'the unborn being afforded no such interaction with the world are thus easy to dehumanize into objects with scientific terms like fetus and embryo ', 'once she is on the operating table she loses control over her body ', 'and it is this right to life that is being dismissed if people accept that there are times in which abortion should be allowed ', 'giving birth especially when conception was not desired is a totally selfless act a generous act a display of courage strength and honor ']
110		['abortion an operation or other procedure including ingestion of abortifacient pills such as ru  conducted with the primary intention being the death of the zygote embryo or fetus ', 'as per the rules i will make one clarification of position here in the form of a definition of abortion ', 'this concludes the my opening round and i pass the debate back to pro to provide the opening arguments ']
110		['human and not jewishhuman and conscioussee how good we are at creating reasons that permit us to enslave dominate and kill some particular group by not recognizing the obvious fact that they are as equally human as the rest of us ', ' in fact pro goes on to state that mowing the grass is morally equivalent or perhaps worse than killing a human zygote the most elementary stage of human life ', 'I have shown that his arguments are based on appeals to emotion and a denial of rights through discrimination based on size and development of the unborn ', 'this is not something that happens by accident or randomly but rather is the normative developmental trajectory of humans ', 'sometimes right sometimes wrongpro questions why i bothered to fully refute his argument stating i refuted it because it was faulty logic and he has to show that there are both times that it is and is not permissible ', 'conclusionpro has failed to substantiate either side of his argument ', 'so the argument is that if you have had a bad accident or will suffer a brain aneurysm in the next  hours we can just rescind your rights and kill you on the spot ', 'that is because he introduced almost no new arguments but instead tried to give analogies that showed that the unborn were not humans before a certain age ', 'i had noted in the previous round that rationality is something that develops from within the organism and not something that is implanted by the mother or some other agent ', 'this is because we have a rational nature unlike trees do not have rational natures because trees do not naturally express rationality my apologies to any ents reading this discussion ', 'i believe that i can confidently state that we humans are rational creatures ', 'if you live to a  are president and have grand kids do you have any greater right to life that the child that may only live an hour outside of its mothers womb ', 'we do not have a right to a particular outcome but what we do have as human beings are fundamental human rights ', 'is life itself and its meaning a mystery that each of us get for our time we are alive whether long and glorious or short and feeble ', 'additionally i gave sound reasoning as to why humans have a rational nature thus showing them to be persons right from fertilization ', 'rebuttalsi must admit that pro is mostly correct when he said that the majority of my rebuttals from the last round were refuting points he had made in the first round ', 'as such this argument has been completely substantiated and shows that every human has inalienable rights ']
111		['they had no say in these circumstances and were instead simply given life ']
113	['thank you for posting i look forward to it ']	
113	['my argument is this  the moral position of one does not necessarily negate the moral position of another in a just society ', 'pro states my argument is this  the government should not try to impose morality onto people but should instead let them  banning abortion imposes morality onto women ', 'it does not ask should a just society bend to the morals of one group over another s ', 'it may not be a complete rewrite but enough to allow slack to pro when rebutting my points ', ' a just society balances rightness in some part on utility and greatest happiness obtainable ']	
113	['the addition of choice to the possibly that a women got enough to eat in the days before ovulation is rational moral and a necessity in a just society ', 'there is no way to know what fetus responses would be similar to asking anyone how they would respond to a hypostatical they could never encounter ', 'that is anyone may use it regardless of bastardization of the authors intent ', 'what is more interesting to me about the use of this quote is the necessity of the pro life community to manipulate emotion ', 'no one makes the claim that the fetus is intentionally attacking the mother s body but the fetus is doing just that ', 'the fetus is gone and has no ability to wish for a different outcome ', 'personhood is ambiguousunless absolutely necessary within the context of the debate i will not argue over personhood only realize that each side has somewhat conflicting definitions ', 'it was misused from the start and he did not like the meaning getting twisted ', 'first it is understood that the unwanted fetus has no I will intent ', 'before saying that a fetus is an innocent human being is a little backwards ', 'the two you have chosen are of interest to me and are common to the pro life debater ', 'they may have spared pro some trouble but not only do they seem better said now as part of my rebuttal they also may serve pro better now that he or she has had the opportunity to make the argument he wanted ', 'the simple answer for me is it is meaningless ']	
113	['moral or immoral from one point of view or another asking the government is siding with one over the other pro life must by necessity negate the moral decisions of pro choice ', 'the question then becomes does the government have interest for the sake of society to intervene and control a woman s body without her consent based on one set of morals while excluding another s enforcing by law the sense of moral superiority of one group ', ' the moral position of one does not necessarily negate the moral position of another in a just society ', ' greatest happiness the term john stuart mill choose as the grandfather of the concepts of just society has significant interest in this debate ', 'this resulted in much higher infant mortality rates  deaths in   live births more than  before underdeveloped infants  in  babies all the while abortions were still happening illegally increasing adult women s deaths and severer health concerns ', 'pro choice has no interest in forcing their morality on pro life therefore pro choice is a default while pro life must have intervention in personal life choices ', 'starting with the happiness of the women who seek abortion we can pick some important points using a pro life friendly site as a source ', 'the societal impact of removing this choice from the woman has a dramatic and negative impact on the society at large leading to unhappiness ', 'the number of unwanted children became an epidemic a human tragedy that the country still suffers from ']	
113		['its not a gerbil and we can recognize that it is human life ', 'development is false also as a  year old woman is more developed than a pre pubescent and yet they are both human environment does not change anything as going  inches down the birth canal does not make you more or less human where you are does not dictate your humanity ', '  finally this new human being the single cell human zygote is biologically an individual a living organism an individual member of the human species what makes the fetus so obviously biologically human is that from conception the fetus has human dna and the zygote is what every cell you are made from develops ', 'so any pretense that abortion is not killing is a signal of our ambivalence a signal that we cannot say yes it kills a fetus ', 'according to scientific planned parenthood argued as far back as  that everyone already knows that abortion kills ', ' the official senate report reached this conclusion physicians biologists and other scientists agree that conception marks the beginning of the life of a human being a being that is alive and is a member of the human species ', ' the fusion of the sperm with  chromosomes and the oocyte with  chromosomes at fertilization results in a live human being a single cell human zygote with   the number of chromosomes characteristic of an individual member of the human species ', 'killing robs a being of a natural property which is of great if not the greatest value ', ' on the other side of the pond ann furedi the chief executive of the largest independent abortion provider in the uk said this in a  debate we can accept that the embryo is a living thing in the fact that it has a beating heart that it has its own genetic system within it ']
113		['round  acceptance round  openings round  refutations round  conclusion abortion the deliberate termination of a human pregnancy most often performed during the first  weeks of pregnancy ']
113		['in order to justify killing innocents con attempts to bring up that people should be able to choose what is moral for them and bodily autonomy however killing a human deprives them of the choice to be happy flo and violates the bodily autonomy of the fetus ', 'introduction refutations tbrs main argument goes as such  the government should not try to impose morality onto people but should instead let them decide  banning abortion imposes morality onto women ', 'allowing a person to make a choice in keeping with her moral and not subjected by anothers is socials balanced morals ', ' this logic is false because the governments job is to find the best system of morality and use it in laws ', 'allowing a woman to make a choice in keeping with her moral and not subjected by anothers is socials balanced morals ', 'this argument turns to pro because the fetus is the one with bodily autonomy being violated ', 'by tbrs logic we should have a system of popular sovereignty in which we can choose to own slaves ']
114	['if a mother were forced to give birth to her unwanted baby she would clearly still not want the baby ', 'in your particular situation it would at first seem unethical to abort the baby if both lives can be saved ', 'in another scenario the extra mouth to feed can because the family to grow more impoverished ']	
114		[]
114		['she has no legitimate claims to abort the baby if it can just be removed given her hindrance is not really an issue ', 'in any case ask anyone if they would rather be born into rough conditions or die and you see it is clear we should give preference to letting it live ', 'you seem to think the birth canal is the magical point but it is a lot more arbitrary because for effective purposes the baby can survive and all you are providing is trivial location points ']
114		['healthy babies are too often aborted in the name of saving the mother when labor could be induced or teh baby somehow otherwise simply removed instead of abortion the mother should not have the option to abort a healthy baby when it can jsut be removed ', ' to be sure this includes much abuse for mental health etc if even a healthy baby must be aborted to save the mother msot including me would agree it is the right thing to do ', 'in cases where mothers life is at risk but the healthy baby can be safely removed instead of aborted ']
115	['when you talk about the possibility of an adoptive parent and that chance being taken away i turn you towards the fact that there are many more possible children to adopt than there are people adopting for if the numbers were the same if not more parents than kids then there would be no more children who are looking for adoptive parents ']	
115	['an abortion can not be painful to a child as at the stage of development they can legally be aborted at they are a very simple organism that cannot feel pain or trauma it is incapable of knowledge around subjects such as this for instance can you find anyone that can tell you what their life was like before they were born then i would except the possibility of gathering knowledge but no one has ever made this feat ', 'in the united kingdom which is where i live there is no abortion after  weeks which is still before any cognitive function ', 'however a life is something that can function as a sentient being at this age a foetus is not sentient it is only working off of impulses that because reactions it is not in control of itself or its actions this is like when an animal is killed using an electric bolt the way they are killed now there are still electrical impulses that because actions because of the nerves that still cat after death ']	
115	['which is decided as many different times by different people as i am not sure on your opinion on the start of a life then i cannot yet inform you whether you are wrong or not on that yet but I am pretty sure your view will humour me ']	
115		['i likewise thank you for your time and for a terrific debate ']
115		['thirdly i want to bring this into the arguments because this is personal to me ', 'i thank you for the debate and apologize in advance if i was rude or harsh in any way to you in round i ', 'my cousin matthew alex has many disabilities it is hard for him to walk speak and eat among other things ']
115		['accepted and thank you for this debate right let us begin ', 'abortion kills a innocent baby do not make the child suffer for something that you did ', 'the child can be given up for adoption and not murdered torn to pieces ']
118	['that is over three quarters of the uk population including both men and women ']	
118		['secondly a poll commissioned in  for the telegraph showed that  of members interviewed were in favour of the limit being reduced to  weeks from  week pdfs  march sunday telegraph abortion survey ']
120	['at this point this is your position a very small number of abortions occur after the   weeks so the government has the obligation to regulate abortions ', 'not allowing women to consult with professionals when seeking abortion services only poses more of a threat to womens reproductive health ', 'unless you can prove that regulating abortions will result in the immediate halt of all abortions there is no reason that the government should intervene on such decisions ', 'while these laws in some way affect a large part of society only a woman has to deal with the emotional consequences of terminating a pregnancy ', 'denying women access to medical services that enable them to regulate their fertility or terminate a dangerous pregnancy amounts to a refusal to provide health care to women ', ' of all abortions that take place an insignificant number when you consider my other two arguments regulating abortion does not actually decrease the number of abortions that take place and protecting womens reproductive rights ', 'according to the convention on the elimination of all forms of discrimination against women discrimination against women includes laws that have either the effect or the purpose of preventing a woman from exercising any of her human rights or fundamental freedoms on a basis of equality with men ', 'the small number of abortions that take place is outweighed by the fact that these abortions will take place post legislation which guarantees the terminated pregnancy but also threatens the mothers life ', 'to refuse on principle to permit a woman to consider her life or welfare when it seems threatened by pregnancy is to say that only men are the recipients of political freedom and responsibility ']	
120	['if you do think that a fetus has the right to life i would also like to point out that regulating abortions does not mean you decrease the number of abortions that take place ', 'this is a proven impact of making abortions illegal on president bushs first day in office he reinstated the global gag rule which suppressed all aid foreign aid that went to ngos that engaged in abortion activity ', 'i will focus my position on some of the major points first is the question of whether or not aborted fetuses are at a point of development when it can be considered a life ', 'while making them illegal could deter some women from seeking abortions it does not address the fundamental causes of abortion social pressures the reason that there is a demand for abortions now ', 'this does not in itself demonstrate that such abortions are morally permissible but it does show that the rights based argument against abortion fails to show that they are impermissible ']	
120		['until we take a stand and let the government know we are serious about our morality ethics and values there will be no end to the debate ', 'we were told something would get done about abortion and we got the partial birth abortion bill which actually did next to nothing for the pro life because ', 'we were told something would get done about our current over taxation only duct tape and bubble gum were applied ']
120		['if you concede that a child gains the right to life at a certain point in the womb then the government has an obligation to regulate abortions even if it is only to make the determination that in a life threatening situation the most viable life must be saved ', 'at this point this is your position a very small number of abortions occur after the   weeks so the government has the obligation to regulate abortions ', 'at the point where i rob a bank my right to be involved in my decisions that affect my life and future ends ', 'the amount of doctors willing to perform legal abortions is shrinking so much that there has been a  decrease in abortion training in hospitals over the last  years ', 'a baby is the only form of innocence that humanity ever knows impeding upon the babys right to life for the sake of what is best for the woman is the ultimate act of selfishness ', 'according to the convention on the elimination of all forms of discrimination against women discrimination against women includes laws that have either the effect or the purpose of preventing a woman from exercising any of her human rights or fundamental freedoms on a basis of equality with men ', 'it seems to me that the woman actually has more political fredom and responsibility ', ' this is actually the weakest point of your argument ', 'if you take into consideration that a woman would have to a break the law ', 'one part is all i needed to address you defeated your own position ', 'i can decide that the best thing for my future is to have a lot of money ']
120		['then you posted on the account that does best by the critic of abortions own standards the fetus acquires the right to life that you and i have when it begins to have conscious desires ']
121	['not only does it ignore my main argument he actually copy pastes the vast majority of his argument from the following website it was quite easy to suspect and find that he copypasted his argument ', 'as i argued in my previous argument if a fetus does not have the mental requirements to be a person defined philosophically as a rational sapient entity then it is not murder and therefore not immoral to kill a fetus ', 'whatever it was it lead to a lackluster argument being used in his last round how depressing ', 'i was expecting for him to develop on the importance of instrospection and such but it seems his response was anticlimatic of sorts ', 'however i just want to point out the intellectual dishonesty of my what my opponent has done ']	
121	['my opponents argument he relies simply on the fact that since a law exists in favor for anti abortion a way that it can be interpreted at least then this serves as an argument ', 'i argue that unless the fetus is a person which is an entity that is rational and possess the adequate mental faculties to introspect then abortion is okay ', 'however do realize that part of the punishment may be that the parents did not originally want the fetus to die abortion against their consent so i suppose some part of the law may account for that though it will be tricky ', 'finally while i agree that i have a burden it should not be a controversy that my opponent also has a burden to prove a situation in which the act of abortion is wrong ', 'if he does succesfully then he does indeed show abortion to be murder and thus to be wrong ', ' the right of a fetus killing a pregnant woman quote if you kill a pregnant woman you are charged with two murders ', 'well even if that is so this is no argument ', 'however i will attack his premise that a late term fetus for the sake of clarity will just be known as a fetus is a human being ', 'it had a beating heart functioning brain skeletal respiratory digestive and other bodily systems ']	
121	['i thank my opponent for creating this debate and contrary to the woes of those in the comment sections I am sure i will not fall for whatever sly trick my opponent may have used d quote as my opponent is affirmative the burden of proof lies on him her ', 'simple as that it is brain is not fully developed to meet such a criteria ', ' fetuses do not have rights because a fetus is not self aware it does not have rights ']	
121		['the biologist will tell you that a frog is a frog from the instant it first functions as an independent organism regardless of the form it takes during the course of its development ', 'it would be like declaring the benchmark of life for the butterfly organism is the presence of wings and antennae and then after examining the caterpillar pronouncing that because it has neither wings nor antennae it is neither living nor a butterfly despite the fact that it is a living organism with the genome of the butterfly and if it is not killed before it completes its metamorphosis will become nothing other than a butterfly ', 'an organism is never identified purely on the basis of its morphological or physiological state at any given point in its lifecycle ', 'human being my opponent has consented in his last speech that if i prove a fetus to be a human being then my claims are legitimate ', 'the biologist will not hesitate to affirm that the tadpole is indeed a frog ', 'well it depends upon how you define the frog organism ', 'may we identify an organism as a frog purely on the basis of its morphology physical form ']
121		['no it would not be considered murder if he she it had no rights ', 'if you abort a baby in the late stages of pregnancy you are killing it ', 'not only but since you are the instigator in this debate then it could said that you have an even heavier burden ', 'it had a beating heart functioning brain skeletal respiratory digestive and other bodily systems ', 'obviously in this scenario the fetus posses the right to life for which the criminal will be punished for having infringed upon that right ', 'the burden is on you to prove that abortion is correct in every situation ', 'if you kill a pregnant woman you are charged with two murders ']
121		['the removal of an embryo or fetus from the uterus in order to end a pregnancy done in the late stages of pregnancy ', 'moral of pertaining to or concerned with the principles or rules of right conduct or the distinction between right and wrong ethical moral attitudes ', 'as my opponent is affirmative the burden of proof lies on him her ']
122	['if you are really in favor of a law against abortion consider the effect that this would have on society it would change our entire societys view towards sex see point  paragraphs above it would result in a large increase in pregnancies in which case we have to think about how large families would get how that would affect jobs economy etc ', 'we are all people made up of good and bad and no other human who is no better than us in any manner has the right to decide when we die ', 'if there is a law against abortion do you realize how many pregnant mothers you will have who are  opposed to their pregnancy ', ' we already do not have enough homes for all the children up for adoption ', 'you say that women should take responsibility for their actions ', 'some of these points may seem extreme but the fact is that there is so much more to think about when considering a law like this beyond the fact that a fetus will be allowed to be born ', ' there would be many men paying in child support potentially to more than one woman women who really did not want the child would still seek out an abortion that might be unsafe for her health ', 'the shame that many of these women feel would need to change or are you really going to insist that every woman keep her child and then still look with scorn upon the young teenage mother ', 'criminal history can depend on how a person was raised the setting they were raised in their mental stability drug use etc ', 'this is something that men will never have to actually experience so it is easy for you to speak about because it is a decision you will never have to face ', 'does this mean that all these things most of which are factors that someone cannot control should allow a person to be punished by death ', 'yes it is ultimately the womans choice to abort but the fact is that the man is therefore exempt from all responsibility of having put this difficult choice on the woman when it is  his fault she is in the position of having to make that decision in the first place ', 'clearly women who do not desire to get pregnant are doing what is necessary to not have to make the decision to have an abortion ', ' what if your daughter became pregnant because she was taken advantage of at age  by an older boy ', 'yes it seems we do agree on the principle that abortion itself is a sad negative thing ']	
122	['for me i feel that if i agreed to let these convicted murders be put to death that would be condoning the exact thing that i find wrong about them ', 'i was not going to accept your challenge at first because in theory i do not actually with your stance in the title of this debate ', 'when i chose as my stance on abortion i meant this in reference to the idea of whether abortion should be legal or not ', 'as you mentioned yours take on life is that it is from conception when a sperm fertilizes egg ', 'beyond the fact that i do not agree with the fundamental idea of it it is not going to be  accurate ', 'however your question is a good one and I would like to at least explain my thought process for the answers to the questions in my profile which is i assume where you found that i with abortion yet with the death penalty for me factors for which i base my decisions surrounding my choice not to support the death penalty are very different from those on which i base my decision to be pro choice ', 'do i with the idea of abortion in general ', 'having the power to kill people for doing the same thing to someone else strikes me as an odd way of teaching a lesson ', 'this for me presents a quandary that i do not feel i need to address to decide my stance on abortion ', 'taking away their right to breathe and live is a whole other step up from taking away their right to be free in society by keeping them in a prison cell for the rest of their life and i do not think that the satisfaction that the families of those murdered feel is enough ', 'when it comes to the death penalty first and foremost it quite simply does not sit well with me ', 'now obviously just because i do not want to kill these people does not mean i want them to be free ', 'probably the biggest reason i am against the death sentence is that i think it is unnecessary ']	
